Ano,Disciplina,Bimestre,Media,Mediana
2017,geog,1,7.6,7.0
2017,geog,2,7.55,7.0
2017,geog,3,7.9,8.0
2017,geog,4,8.25,8.0
2017,arte,1,8.35,9.0
2017,arte,2,8.0,8.5
2017,arte,3,8.15,9.25
2017,arte,4,8.32,9.5
2018,cien,1,7.14,7.5
2018,cien,2,6.93,7.0
2018,cien,3,7.14,7.0
2018,cien,4,7.19,7.0
2018,hist,1,8.05,8.0
2018,hist,2,7.62,8.0
2018,hist,3,7.4,7.5
2018,hist,4,8.1,8.5
2018,ingl,1,7.36,7.0
2018,ingl,2,7.02,7.5
2018,ingl,3,7.14,7.0
2018,ingl,4,7.5,8.0
2018,port,1,7.52,7.5
2018,port,2,7.64,8.0
2018,port,3,7.31,7.5
2018,port,4,7.93,8.0
2018,reli,1,8.02,8.0
2018,reli,2,7.88,8.5
2018,reli,3,7.98,8.5
2018,reli,4,8.19,9.0
2018,edfi,1,7.9,8.0
2018,edfi,2,7.79,8.0
2018,edfi,3,8.12,8.0
2018,edfi,4,8.14,8.0
2018,mate,1,7.26,7.5
2018,mate,2,7.31,7.0
2018,mate,3,7.45,7.5
2018,mate,4,7.71,8.0
2018,geog,1,7.62,7.0
2018,geog,2,7.71,7.5
2018,geog,3,7.52,7.5
2018,geog,4,7.9,8.0
2018,arte,1,7.81,8.0
2018,arte,2,7.74,8.0
2018,arte,3,7.67,8.5
2018,arte,4,8.14,8.5
2019,cien,1,7.16,7.0
2019,cien,2,7.5,7.5
2019,cien,3,7.14,7.5
2019,cien,4,5.94,6.0
2019,hist,1,7.38,7.5
2019,hist,2,7.48,7.0
2019,hist,3,7.74,8.0
2019,hist,4,7.8,8.0
2019,ingl,1,7.22,7.0
2019,ingl,2,7.36,7.0
2019,ingl,3,7.36,7.5
2019,ingl,4,7.68,8.0
2019,port,1,7.44,7.5
2019,port,2,7.72,8.0
2019,port,3,7.72,8.0
2019,port,4,8.28,8.0
2019,reli,1,7.64,7.5
2019,reli,2,7.98,8.0
2019,reli,3,7.56,7.5
2019,reli,4,7.94,8.0
2019,edfi,1,8.34,8.5
2019,edfi,2,7.88,8.0
2019,edfi,3,7.44,8.0
2019,edfi,4,8.36,8.0
2019,mate,1,7.4,7.0
2019,mate,2,6.68,6.0
2019,mate,3,6.78,7.0
2019,mate,4,6.9,7.0
2019,geog,1,7.66,7.5
2019,geog,2,8.18,8.0
2019,geog,3,8.04,8.0
2019,geog,4,7.6,8.0
2019,arte,1,8.68,9.0
2019,arte,2,8.4,9.0
2019,arte,3,8.6,9.0
2019,arte,4,8.22,9.0
2020,cien,1,8.18,8.0
2020,cien,2,7.87,8.5
2020,cien,3,8.15,8.5
2020,cien,4,8.09,8.5
2020,hist,1,7.8,8.0
2020,hist,2,7.95,8.5
2020,hist,3,7.79,8.0
2020,hist,4,8.0,8.0
2020,ingl,1,7.52,8.0
2020,ingl,2,7.39,8.0
2020,ingl,3,6.94,6.0
2020,ingl,4,7.64,7.0
2020,port,1,7.82,8.0
2020,port,2,7.48,8.0
2020,port,3,7.11,6.0
2020,port,4,7.64,8.0
