Turma (ano);Nascimento (ano);Gênero;Ciências1B;Ciências2B;Ciências3B;Ciências4B;Geografia1B;Geografia2B;Geografia3B;Geografia4B;História1B;História2B;História3B;História4B;Religioso1B;Religioso2B;Religioso3B;Religioso4B;Arte1B;Arte2B;Arte3B;Arte4B;Física1B;Física2B;Física3B;Física4B;Inglês1B;Inglês2B;Inglês3B;Inglês4B;Português1B;Português2B;Português3B;Português4B;Matemática1B;Matemática2B;Matemática3B;Matemática4B
2021;2007;M;6,5;8,5;7,5;9,7;8,0;10,0;8,0;8,0;7,0;6,0;8,0;8,5;8,5;9,0;9,0;9,0;7,0;9,0;7,0;8,5;9,0;10,0;10,0;8,0;9,0;10,0;10,0;10,0;9,0;7,5;6,0;7,0;7,0;9,0;7,5;8,5
2021;2007;M;6,0;6,0;6,0;3,0;6,0;6,0;8,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,5;6,0;6,0;6,0;6,0;7,0;6,0;6,0;7,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,5;6,0;5,5
2021;2006;F;8,5;10,0;8,5;9,7;10,0;10,0;10,0;10,0;9,0;9,0;8,0;10,0;10,0;10,0;9,0;10,0;8,0;9,0;7,0;10,0;7,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;8,5;7,5;10,0;9,0;10,0;8,5;9,8
2021;2006;M;6,0;6,5;6,0;2,7;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,5;3,0;6,0;6,0;6,0;2,0
2021;2006;M;6,0;6,0;6,0;4,3;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,5;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,5;6,0;6,0;6,0;6,5;6,0;4,0
2021;2006;M;6,0;6,5;6,0;4,3;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,5;6,0;6,0;7,0;6,0;6,5;6,0;6,0;6,0;6,5;6,0;3,3
2021;2005;M;6,5;6,0;6,0;4,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,5;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,5;6,0;4,5
2021;2007;F;9,5;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;9,0;10,0;10,0;10,0;10,0;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;9,5;10,0;10,0;10,0
2021;2006;F;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;9,0;10,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;8,5;10,0;9,5;10,0;9,0;9,7
2021;2006;F;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;9,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;8,0;10,0;10,0;9,0;10,0;10,0;8,0;10,0;10,0;10,0;10,0;10,0;8,0;8,5;9,5;9,5;9,5;9,0;9,8
2021;2006;M;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0
2021;2006;M;6,0;6,0;6,0;7,3;6,0;6,0;7,0;10,0;6,0;6,0;6,0;6,5;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,5;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;5,2
2021;2006;M;6,0;8,5;8,5;10,0;8,5;9,0;8,0;10,0;8,0;8,0;7,0;10,0;8,5;8,5;9,0;9,5;7,0;8,5;7,0;10,0;9,0;6,0;6,0;10,0;8,0;6,0;7,0;6,0;7,0;7,5;6,0;8,0;6,0;7,5;7,5;9,7
2021;2006;M;6,0;6,0;6,0;5,7;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,5;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;4,7
2021;2007;F;9,0;10,0;9,5;10,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0
2021;2005;M;6,5;6,0;6,0;3,7;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,5;6,0;7,0;5,5;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,5;6,0;3,0
2021;2006;F;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;8,0;9,0;10,0;10,0;10,0;10,0;10,0;9,0;8,0;8,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;7,5;9,0;9,0;10,0;9,0;9,5
2021;2007;F;6,0;8,0;6,0;9,3;9,0;8,0;9,0;9,0;7,0;6,0;7,0;7,0;9,5;8,5;8,0;8,0;7,0;8,0;6,0;7,0;6,5;6,0;6,0;8,0;7,0;6,0;6,0;9,0;7,0;7,0;6,0;7,0;6,0;6,5;6,0;7,7
2021;2006;F;6,0;6,0;6,0;8,7;8,0;6,0;7,0;8,0;6,0;6,0;6,0;8,0;6,5;6,0;6,0;7,0;6,0;6,0;6,0;8,0;8,5;6,0;6,0;6,0;9,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,2
2021;2006;M;6,5;6,0;6,5;5,7;6,0;6,0;7,0;8,0;6,0;6,0;6,0;6,0;6,5;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;6,5;6,0;6,0;5,0
2021;2007;F;6,0;9,0;8,5;10,0;7,0;6,5;9,0;8,0;7,0;10,0;10,0;8,0;8,5;9,0;8,5;9,5;8,0;8,0;9,0;8,0;9,0;9,0;10,0;8,0;9,0;7,0;10,0;8,0;7,0;7,0;6,0;8,0;6,5;9,0;8,5;8,5
2021;2006;F;8,5;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;9,0;10,0;10,0;10,0;10,0;10,0;9,0;10,0;10,0;10,0;10,0;9,0;8,0;10,0;8,5;10,0;9,5;10,0
2021;2006;F;7,0;6,0;6,5;9,3;6,0;7,0;7,0;8,0;7,0;6,0;6,0;9,0;7,5;6,5;6,0;8,0;7,0;7,0;7,0;9,0;8,0;8,0;6,0;8,0;9,0;8,5;6,0;8,0;7,0;6,0;6,0;7,5;6,5;6,0;6,0;8,0
2020;2005;M;7,0;6,0;6,0;9,0;7,0;7,5;7,0;7,0;7,0;7,0;7,0;8,0;8,0;8,0;7,5;8,0;6,0;9,0;6,0;9,5;7,0;7,5;6,0;8,0;8,0;8,0;6,0;6,0;8,0;8,0;6,0;6,0;6,0;8,0;7,5;7,5
2020;2005;M;6,0;6,0;8,0;6,0;7,0;7,0;7,0;6,0;7,0;6,0;7,0;6,0;7,0;7,0;7,0;6,0;7,0;6,0;6,0;6,0;8,0;9,0;6,0;6,0;5,0;6,0;7,0;6,0;7,0;7,0;7,0;6,0;8,0;8,0;1,0;6,0
2020;2005;F;8,0;8,5;9,5;9,0;9,0;9,0;8,0;8,0;8,0;9,0;8,5;9,0;9,0;9,0;9,0;9,0;9,5;10,0;9,5;10,0;8,0;8,0;10,0;9,5;8,0;8,0;7,0;9,0;7,0;7,0;8,0;9,0;7,0;9,0;8,5;7,5
2020;2006;F;10,0;10,0;9,5;9,0;9,5;9,5;9,0;10,0;9,0;9,5;9,0;10,0;10,0;9,0;9,0;10,0;9,5;9,0;8,5;10,0;10,0;10,0;10,0;9,5;9,0;9,0;10,0;10,0;8,0;9,0;9,5;10,0;8,0;9,5;9,0;8,5
2020;2004;F;9,0;9,5;9,5;9,0;8,0;8,0;8,0;7,0;8,0;8,0;8,0;8,0;8,0;9,0;9,0;8,0;9,5;10,0;9,0;9,0;8,0;9,0;9,0;9,0;8,0;8,0;7,5;9,0;9,0;8,0;8,0;8,0;8,0;9,0;9,0;7,0
2020;2003;M;8,0;7,5;8,1;7,5;8,5;8,5;8,0;8,0;8,0;9,0;8,0;8,0;8,0;9,0;8,0;8,0;9,5;10,0;10,0;10,0;9,0;8,5;6,0;8,0;8,0;7,0;6,0;6,0;8,0;9,0;6,0;7,0;7,5;9,5;6,0;6,5
2020;2005;F;9,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;9,0;9,5;10,0;10,0;10,0;8,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;8,7;9,0;9,0;6,0;10,0;10,0;9,0;6,0;9,5;10,0;9,0;10,0;9,5;9,5
2020;2005;F;8,0;6,5;6,0;6,0;7,0;7,5;7,0;7,0;7,0;7,0;6,5;6,0;8,0;8,0;7,0;6,0;9,5;10,0;9,5;10,0;7,0;6,5;6,0;6,0;7,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0
2020;2005;F;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0
2020;2004;M;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;7,5;6,0;6,0;6,0;9,5;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0
2020;2005;M;9,0;9,0;9,0;8,0;7,5;8,5;8,0;8,0;8,0;8,5;8,0;7,0;8,0;8,0;8,0;7,0;9,0;10,0;9,5;10,0;8,0;9,5;6,0;8,0;8,0;8,0;6,0;8,0;8,0;8,0;6,0;8,0;7,5;9,5;8,5;5,5
2020;2005;M;9,0;8,5;8,0;9,0;8,0;7,0;8,0;7,0;8,0;8,5;8,0;8,0;8,0;8,0;8,0;8,0;9,0;9,5;7,5;8,5;9,0;8,5;6,0;7,0;8,0;8,0;6,0;7,0;8,0;8,0;6,0;8,0;8,5;9,0;8,0;7,5
2020;2005;M;8,0;6,5;7,5;8,0;7,0;7,5;8,0;7,5;7,5;8,0;7,0;8,0;8,0;8,0;8,0;8,0;8,0;10,0;9,5;10,0;8,0;8,5;6,0;7,5;8,0;8,0;6,0;7,0;8,0;8,0;6,0;7,0;8,0;8,0;7,0;7,0
2020;2005;M;9,0;9,5;9,2;9,0;7,0;8,0;8,0;8,0;7,5;8,5;8,0;9,0;8,5;8,0;9,0;8,0;8,5;9,5;9,0;10,0;8,0;9,5;9,0;9,0;8,0;6,0;6,0;10,0;8,0;8,0;7,5;10,0;9,0;8,5;8,5;8,0
2020;2005;M;8,0;9,5;9,5;10,0;8,0;8,0;8,0;8,0;8,0;8,5;8,5;6,0;8,0;8,5;8,5;6,0;8,5;9,0;7,5;9,0;9,0;10,0;8,0;9,5;8,0;8,0;6,0;9,0;8,0;6,0;6,0;9,0;8,0;9,5;8,5;9,0
2020;2006;M;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;9,5;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;8,0;6,0;6,0;7,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0
2020;2005;F;10,0;9,5;10,0;10,0;9,0;9,0;7,0;9,0;9,0;9,0;9,0;10,0;9,0;9,0;9,0;10,0;10,0;10,0;10,0;10,0;10,0;9,5;9,0;10,0;8,0;7,0;8,0;10,0;8,0;8,0;8,0;9,0;9,0;10,0;9,5;9,0
2020;2005;F;9,0;9,0;10,0;10,0;8,0;9,0;7,0;8,0;9,0;9,0;9,0;10,0;9,0;7,0;9,0;10,0;9,5;10,0;10,0;10,0;8,0;9,0;9,0;8,0;8,0;7,0;7,5;10,0;8,0;7,0;7,5;9,0;8,0;10,0;9,5;9,0
2020;2006;F;8,0;7,5;6,5;7,0;8,0;8,0;7,0;7,5;8,0;7,0;7,5;8,0;8,5;7,0;8,0;8,0;8,0;9,0;9,5;10,0;8,5;8,5;6,0;8,0;7,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;8,0;8,5;6,0;7,0
2020;2005;M;9,0;5,0;6,0;6,0;6,0;5,0;6,0;6,0;7,5;6,0;6,0;6,0;8,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;8,0;5,0;6,0;6,0;7,0;9,0;6,0;6,0;7,0;6,0;6,0;6,0;7,0;5,0;6,0;6,0
2020;2006;F;9,0;9,5;10,0;10,0;9,0;9,0;7,0;8,5;9,0;9,0;9,0;10,0;9,0;9,0;9,0;10,0;10,0;10,0;10,0;10,0;9,0;9,5;8,0;9,5;8,0;7,0;7,0;9,0;9,0;6,0;8,0;9,0;8,0;10,0;9,5;9,5
2020;2005;M;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;7,5;6,0;6,0;6,0;8,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0
2020;2006;M;7,0;9,0;8,0;8,0;8,0;8,0;7,0;7,5;9,0;8,0;9,0;9,0;9,0;8,5;8,5;9,0;8,0;9,5;8,5;9,0;9,0;9,5;9,5;7,5;7,0;8,0;6,0;6,0;8,0;8,0;6,0;6,0;8,0;9,0;7,0;8,5
2020;2005;M;8,0;6,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;7,0;6,5;6,0;7,5;7,0;6,5;6,0;6,5;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;7,0;6,0;6,0;7,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0
2020;2005;F;8,0;10,0;10,0;9,5;10,0;9,5;7,0;10,0;9,0;9,0;9,0;10,0;9,0;9,5;9,0;10,0;10,0;10,0;10,0;10,0;8,0;10,0;9,5;9,5;8,0;7,0;9,0;10,0;9,0;8,0;9,0;10,0;9,0;10,0;9,0;9,0
2020;2006;F;10,0;10,0;9,9;9,0;10,0;9,5;7,0;7,0;9,0;9,5;9,5;10,0;9,5;9,5;10,0;10,0;10,0;9,5;10,0;10,0;10,0;9,5;9,0;9,5;9,0;6,0;8,0;10,0;9,0;10,0;10,0;10,0;9,0;10,0;9,0;9,0
2020;2005;F;8,0;9,0;8,5;9,0;7,5;8,0;7,0;8,0;7,5;7,0;7,5;8,0;8,5;7,0;8,0;8,0;8,5;6,5;8,5;10,0;8,0;8,5;9,0;9,0;7,0;8,0;8,0;8,0;8,0;9,0;8,0;8,0;8,0;9,0;8,0;7,0
2020;2005;F;8,0;6,5;9,0;8,5;8,0;8,0;8,0;8,0;7,5;8,0;7,5;8,0;8,5;8,0;8,5;8,0;8,5;7,5;6,5;9,0;8,0;7,5;6,5;10,0;8,0;9,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;9,5;8,5;7,5
2020;2006;F;8,0;9,5;9,5;8,5;9,0;9,0;8,0;8,0;9,0;9,0;8,5;9,0;9,0;9,0;9,0;9,0;9,5;10,0;6,0;7,0;8,0;10,0;9,5;7,0;9,0;7,0;7,0;6,0;9,0;9,0;7,0;7,0;8,5;10,0;9,5;8,0
2020;2004;M;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;7,5;6,0;6,0;6,0;6,0;6,0;6,0;6,0;8,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0;6,0
